Id,Label,Community
ADRACK_HUMBLE,Adrack Humble,Winterfell
AERYS,Aerys,King's Landing
ALLISER_THORNE,Alliser Thorne,Castle Black
ANYA_WAYNWOOD,Anya Waynwood,Eyrie
ARYA,Arya,Riverlands
AXELL_FLORENT,Axell Florent,Dragonstone
BAELOR,Baelor,King's Landing
BALON,Balon,Winterfell
BALON_DWARF,Balon Dwarf,Dwarf Troup
BARRISTAN,Barristan,Meereen
BITER,Biter,Riverlands
BLACK_JACK,Black Jack,Castle Black
BOLTON_GUARD,Bolton Guard,Winterfell
BOROS,Boros,King's Landing
BRAN,Bran,Beyond the wall
BRIENNE,Brienne,Riverlands
BRONN,Bronn,King's Landing
CATELYN,Catelyn,Eyrie
CERSEI,Cersei,King's Landing
COOPER,Cooper,Castle Black
CRASTER,Craster,Castle Black
CRASTERS_BABY,Baby,Beyond the wall
DAARIO,Daario,Meereen
DAENERYS,Daenerys,Meereen
DAVOS,Davos,Dragonstone
EDDISON_TOLLETT,Eddison,Castle Black
DONGO_THE_GIANT,Dongo the Giant,Castle Black
DONNEL_HILL,Donnel Hill,Castle Black
DONNEL_WAYNWOOD,Donnel Waynwood,Riverlands
DONTOS,Dontos,Eyrie
DORAN,Doran,King's Landing
DORNISH_LORD,Dornish Lord,King's Landing
DROGO,Drogo,Meereen
DYING_MAN,Dying Man,Riverlands
ELDER_MEEREEN_SLAVE,Meereen Statesman,Meereen
ELIA,Elia,King's Landing
ELLARIA,Ellaria,King's Landing
ENDREW,Endrew,King's Landing
FALYSE,Falyse,King's Landing
FARMER_HAMLET,Hamlet Farmer,Riverlands
FENNESZ,Fennesz,Meereen
FIRST_MATE,First Mate,Winterfell
FOOL,Fool,King's Landing
GILLY,Gilly,Castle Black
GOATHERD,Goatherd,Meereen
GOATHERDS_SON,Goatherd's Son,Meereen
GRENN,Grenn,Castle Black
GREY_WORM,Grey Worm,Meereen
GUYMON,Guymon,Castle Black
HIGH_SEPTON,High Septon,King's Landing
HIZDAHR,Hizdahr,Meereen
HIZDAHRS_FATHER,Hizdahr's Father,Meereen
HODOR,Hodor,Beyond the wall
HOSTER,Hoster,Eyrie
HOT_PIE,Hot Pie,Riverlands
INNKEEPER,Innkeeper,Riverlands
INNKEEPERS_DAUGHTER,Innkeeper's Daughter,Riverlands
JAIME,Jaime,King's Landing
JANOS,Janos,Castle Black
JAQEN,Jaqen,Riverlands
JEOR,Jeor,Castle Black
JOANNA,Joanna,King's Landing
JOFFREY,Joffrey,King's Landing
JOFFREY_DWARF,Joffrey Dwarf,Dwarf Troup
JOJEN,Jojen,Beyond the wall
JON,Jon,Castle Black
JON_ARRYN,Jon Arryn,Eyrie
JORAH,Jorah,Meereen
KARL_TANNER,Karl,Beyond the wall
KEGS,Kegs,Castle Black
LEAF,Leaf,Beyond the wall
LHARA,Lhara,Dragonstone
LITTLE_SAM,Little Sam,Castle Black
LITTLEFINGER,Petyr,Eyrie
LOCKE,Locke,Castle Black
LOLLYS,Lollys,King's Landing
LOMMY,Lommy,Riverlands
LORAS,Loras,King's Landing
LUTHOR,Luthor,King's Landing
LYSA,Lysa,Eyrie
MACE,Mace,King's Landing
MAESTER_AEMON,Aemon,Castle Black
MAG_THE_MIGHTY,Mag the Mighty,Castle Black
MANCE,Mance,Castle Black
MANSERVANT,Manservant,Meereen
MAREI,Marei,King's Landing
MARGAERY,Margaery,King's Landing
MASTER_MIGHDAL,Master Mighdal,Meereen
MEERA,Meera,Beyond the wall
MEEREEN_CHAMPION,Meereen Champion,Meereen
MEEREEN_SLAVE,Meereen Slave,Meereen
MELISANDRE,Melisandre,Dragonstone
MERYN_TRANT,Meryn,King's Landing
MISSANDEI,Missandei,Meereen
MOLES_TOWN_MADAM,Mole's Town Madam,Castle Black
MOLES_TOWN_WHORE,Mole's Town Whore,Castle Black
MORAG,Morag,Castle Black
MORGAN,Morgan,King's Landing
MORGANS_FRIEND,Morgan's Friend,King's Landing
MOSSADOR,Mossador,Meereen
MOUNTAIN,Gregor,King's Landing
MULLY,Mully,Castle Black
MUSICIAN,Musician,King's Landing
MYRANDA,Myranda,Winterfell
MYRCELLA,Myrcella,King's Landing
NED,Ned,Eyrie
NIGHT_KING,Night King,Beyond the wall
OBERYN,Oberyn,King's Landing
OLENNA,Olenna,King's Landing
OLLY,Olly,Castle Black
OLLYS_MOTHER,Olly's Mother,Castle Black
OLYVAR,Olyvar,King's Landing
ORSON,Orson,King's Landing
ORYS,Orys,King's Landing
ORYS_BROTHER,Orys's Brother,King's Landing
OTHELL_YARWYCK,Othell,Castle Black
PODRICK,Podrick,Riverlands
POLLIVER,Polliver,Riverlands
PYCELLE,Pycelle,King's Landing
PYP,Pyp,Castle Black
QHORIN,Qhorin,Castle Black
QYBURN,Qyburn,King's Landing
RALF,Ralf,Winterfell
RAMSAY,Ramsay,Winterfell
RANDYLL,Randyll,Castle Black
RAST,Rast,Beyond the wall
RENLY,Renly,King's Landing
RENLY_DWARF,Renly Dwarf,Dwarf Troup
