Id,Label,Community
BENJEN,Benjen,Night Watch
DROGO,Drogo,Dothraki
GARED,Gared,Doomed Night Watch
HUGH_OF_THE_VALE,Hugh of the Vale,King's Landing
JON_ARRYN,Jon Arryn,King's Landing
JORY_CASSEL,Jory,King's Landing
MAGO,Mago,Dothraki
MIRRI_MAZ_DUUR,Mirri Maz Dur,Dothraki
MYCAH,Mycah,King's Landing
NED,Ned,King's Landing
QOTHO,Qotho,Dothraki
RHAEGO,Rhaego,Dothraki
ROBERT,Robert,King's Landing
SEPTA_MORDANE,Septa Mordane,King's Landing
STABLE_BOY,Stable Boy,King's Landing
SYRIO_FOREL,Syrio,King's Landing
VARDIS_EGEN,Vardis,Lannister
VARLY,Varly,King's Landing
VISERYS,Viserys,Dothraki
WAYMAR_ROYCE,Waymar,Doomed Night Watch
WILL,Will,Doomed Night Watch
