Id,Label,Community
ADDAM_MARBRAND,Addam,Lannister
AEGON,Aegon,Night Watch
AERYS,Aerys,King's Landing
ALLISER_THORNE,Allister,Night Watch
ARYA,Arya,King's Landing
ASSASSIN,Assassin,Stark
BAELOR,Baelor,King's Landing
BALON,Balon,Stark
BARRISTAN,Barristan,King's Landing
BENJEN,Benjen,Night Watch
BERIC,Beric,King's Landing
BORCAS,Borcas,Night Watch
BOWEN_MARSH,Bowen,Night Watch
BRAN,Bran,Stark
BRANDON_STARK,Brandon,Stark
BRONN,Bronn,Lannister
CATELYN,Catelyn,Stark
CERSEI,Cersei,King's Landing
COHOLLO,Cohollo,Dothraki
DAENERYS,Daenerys,Dothraki
DAREON,Dareon,Night Watch
DOREAH,Doreah,Dothraki
DROGO,Drogo,Dothraki
GALBART_GLOVER,Galbart,Stark
GARED,Gared,Doomed Night Watch
GENDRY,Gendry,King's Landing
GREATJON_UMBER,Greatjon,Stark
GRENN,Grenn,Night Watch
HIGH_SEPTON,High Septon,King's Landing
HODOR,Hodor,Stark
HOSTER,Hoster,Stark
HOT_PIE,Hot Pie,Orphan
HOUND,Sandor,King's Landing
HUGH_OF_THE_VALE,Hugh of the Vale,King's Landing
ILLYRIO,Illyrio,Dothraki
ILYN_PAYNE,Ilyn,King's Landing
IROGENIA,Irogenia,Dothraki
IRRI,Irri,Dothraki
JAIME,Jaime,Lannister
JANOS,Janos,King's Landing
JAREMY_RYKKER,Jaremy,Night Watch
JEOR,Jeor,Night Watch
JHIQUI,Jhiqui,Dothraki
JOANNA,Joanna,Lannister
JOFFREY,Joffrey,King's Landing
JON,Jon,Night Watch
JON_ARRYN,Jon Arryn,King's Landing
JONOS_BRACKEN,Jonos,Stark
JORAH,Jorah,Dothraki
JORY_CASSEL,Jory,King's Landing
JOYEUSE,Joyeuse,Stark
KEVAN,Kevan,Lannister
LANCEL,Lancel,King's Landing
LEO_LEFFORD,Leo,Lannister
LITTLE_BIRD,Little Bird,Dothraki
LITTLEFINGER,Petyr,King's Landing
LOMMY_GREENHANDS,Lommy,Orphan
LORAS,Loras,King's Landing
LUKE,Luke,Night Watch
LYANNA,Lyanna,King's Landing
LYSA,Lysa,Lannister
MACE,Mac,King's Landing
MAESTER_AEMON,Aemon,Night Watch
MAESTER_LUWIN,Luwin,Stark
MAGO,Mago,Dothraki
MARILLION,Marillion,King's Landing
MASHA_HEDDLE,Masha,Lannister
MELESSA,Melessa,Night Watch
MERYN_TRANT,Meryn,King's Landing
MHAEGEN,Mhaegen,King's Landing
MIRRI_MAZ_DUUR,Mirri Maz Dur,Dothraki
MORD,Mord,Lannister
MOUNTAIN,Gregor,King's Landing
MYCAH,Mycah,King's Landing
MYRCELLA,Myrcella,Lannister
NED,Ned,King's Landing
OLD_NAN,Old Nan,Stark
OSHA,Osha,Stark
OTHELL_YARWYCK,Othell,Night Watch
OTHOR,Othor,Night Watch
PYCELLE,Pycelle,King's Landing
PYP,Pyp,Night Watch
QOTHO,Qotho,Dothraki
RAKHARO,Rakharo,Dothraki
RANDYLL,Randyll,Night Watch
RAST,Rast,Night Watch
RENLY,Renly,King's Landing
RHAEGAR,Rhaegar,King's Landing
RHAEGO,Rhaego,Dothraki
RICKARD_KARSTARK,Rickard Karstark,Stark
RICKARD_STARK,Rickard Stark,King's Landing
RICKON,Rickon,Stark
ROBB,Robb,Stark
ROBERT,Robert,King's Landing
ROBIN,Robin,Lannister
RODRIK,Rodrik,Stark
ROOSE_BOLTON,Roose,King's Landing
ROS,Ros,Stark
ROYCE,Royce,Doomed Night Watch
RYGER_RIVERS,Ryger,Stark
SAM,Sam,Night Watch
SANSA,Sansa,King's Landing
SEPTA_MORDANE,Septa Mordane,King's Landing
SHAE,Shae,Lannister
SHAGGA,Shagga,Lannister
STABLE_BOY,Stable Boy,King's Landing
STANNIS,Stannis,King's Landing
STEFFON,Steffon,King's Landing
STEVRON_FREY,Stevron,Stark
SYRIO_FOREL,Syrio,King's Landing
THEON,Theon,Stark
TOBHO_MOTT,Tobho Mott,King's Landing
TOMARD,Tomard,King's Landing
TOMMEN,Tommen,King's Landing
TYRION,Tyrion,Lannister
TYSHA,Tysha,Lannister
TYWIN,Tywin,Lannister
VARDIS_EGEN,Vardis,Lannister
VARLY,Varly,King's Landing
VARYS,Varys,King's Landing
VISERYS,Viserys,Dothraki
WALDER,Walder,Stark
WAYMAR_ROYCE,Waymar,Doomed Night Watch
WILL,Will,Doomed Night Watch
WINE_MERCHANT,Wine Merchant,Dothraki
YOREN,Yoren,King's Landing
