Id,Label,Community
AEGON,Aegon,Stark/Targaryen
AERYS,Aerys,Stark/Targaryen
ALANNA,Alanna,Citizen pair 1
ALTON,Alton,Stark/Targaryen
ALYS,Alys,Stark/Targaryen
ARYA,Arya,Stark/Targaryen
BERIC,Beric,Stark/Targaryen
BRAN,Bran,Stark/Targaryen
BRIENNE,Brienne,Stark/Targaryen
BRONN,Bronn,King's Landing
CATELYN,Catelyn,Stark/Targaryen
CERSEI,Cersei,King's Landing
CERSEIS_BABY,Cersei's Baby,King's Landing
CRAYAH,Crayah,King's Landing
DAENERYS,Daenerys,Stark/Targaryen
DAVOS,Davos,Stark/Targaryen
DICKON,Dickon,Stark/Targaryen
DIRAH,Dirah,King's Landing
DORNISH_PRINCE,Dornish Prince,Stark/Targaryen
EDDISON_TOLLETT,Eddison,Stark/Targaryen
EDMURE,Edmure,Stark/Targaryen
EURON,Euron,King's Landing
GENDRY,Gendry,Stark/Targaryen
GILLY,Gilly,Stark/Targaryen
GREY_WORM,Grey Worm,Stark/Targaryen
HARRY,Harry,King's Landing
HOUND,Sandor,Stark/Targaryen
IRONBORN_LORD,Ironborn Lord,Stark/Targaryen
JAIME,Jaime,Stark/Targaryen
JOFFREY,Joffrey,Stark/Targaryen
JON,Jon,Stark/Targaryen
JORAH,Jorah,Stark/Targaryen
LITTLE_SAM,Little Sam,Stark/Targaryen
LITTLEFINGER,Petyr,Other
LYANNA,Lyanna,Stark/Targaryen
LYANNA_MORMONT,Lyanna Mormont,Stark/Targaryen
MAREI,Marei,King's Landing
MARTHA,Martha,Stark/Targaryen
MARWYN,Marwyn,Stark/Targaryen
MELISANDRE,Melisandre,Stark/Targaryen
MISSANDEI,Missandei,Stark/Targaryen
MOUNTAIN,Gregor,King's Landing
NED,Ned,Stark/Targaryen
NED_UMBER,Ned Umber,Stark/Targaryen
NIGHT_KING,Night King,Stark/Targaryen
NORA,Nora,Citizen pair 2
OWEN,Owen,Citizen pair 1
PODRICK,Podrick,Stark/Targaryen
QHONO,Qhono,Stark/Targaryen
QYBURN,Qyburn,King's Landing
RAMSAY,Ramsay,Other
RANDYLL,Randyll,Stark/Targaryen
RHAEGAR,Rhaegar,Stark/Targaryen
RIVERLANDS_LORD,Riverlands Lord,Stark/Targaryen
ROBERT,Robert,Stark/Targaryen
ROBIN,Robin,Stark/Targaryen
SAM,Sam,Stark/Targaryen
SANSA,Sansa,Stark/Targaryen
SARRA,Sarra,Stark/Targaryen
TEELA,Teela,Stark/Targaryen
THEON,Theon,Stark/Targaryen
TORMUND,Tormund,Stark/Targaryen
TYRION,Tyrion,Stark/Targaryen
TYWIN,Tywin,King's Landing
UNSULLIED_CAPTAIN,Unsullied Captain,Stark/Targaryen
VALE_LORD,Vale Lord,Stark/Targaryen
VARYS,Varys,Stark/Targaryen
VICKY,Vicky,Citizen pair 2
VISERYS,Viserys,Stark/Targaryen
WILLA,Willa,Stark/Targaryen
WILLIAM,William,King's Landing
MAESTER_WOLKAN,Wolkan,Stark/Targaryen
YARA,Yara,Stark/Targaryen
YOHN_ROYCE,Yohn Royce,Stark/Targaryen
