Id,Label,Community
AEGON,Aegon,Dragonstone
AERYS,Aerys,Kingslayer's trek
ANGUY,Anguy,Dragonstone
ARYA,Arya,Dragonstone
LITTLE_SAM,Little Sam,Craster's keep
BALERION,Balerion,Dragonstone
BALON,Balon,Theon's imprisonment
BARRISTAN,Barristan,Accross the Narrow Sea
BERIC,Beric,Dragonstone
BERT,Bert,Dragonstone
BLACK_WALDER,Black Walder,Stark Bannermen
BOROS,Boros,King's Landing
BRAN,Bran,The North
BRIENNE,Brienne,Kingslayer's trek
BRONN,Bronn,King's Landing
BRYNDEN,Brynden,Stark Bannermen
CATELYN,Catelyn,Stark Bannermen
CERSEI,Cersei,King's Landing
CRASTER,Craster,Craster's keep
DAARIO,Daario,Accross the Narrow Sea
DAENERYS,Daenerys,Accross the Narrow Sea
DAREON,Dareon,Craster's keep
DAVOS,Davos,Dragonstone
DESMOND,Desmond,King's Landing
DROGO,Drogo,Accross the Narrow Sea
EDDISON_TOLLETT,Eddison,Craster's keep
EDMURE,Edmure,Stark Bannermen
ELDRICK,Eldrick,King's Landing
FARMER,Farmer,Beyond the Wall
FREY_SEPTON,Frey Septon,Stark Bannermen
GENDRY,Gendry,Dragonstone
GILLY,Gilly,Craster's keep
GREIZHEN,Greizhen,Accross the Narrow Sea
GRENN,Grenn,Craster's keep
GREY_WORM,Grey Worm,Accross the Narrow Sea
HIGH_SEPTON,High Septon,King's Landing
HOBB,Hobb,Craster's keep
HODOR,Hodor,The North
HOSTER,Hoster,Stark Bannermen
HOT_PIE,Hot Pie,Dragonstone
HOUND,Sandor,Dragonstone
ILYN_PAYNE,Ilyn,Dragonstone
JAIME,Jaime,Kingslayer's trek
JEOR,Jeor,Craster's keep
JOANNA,Joanna,King's Landing
JOFFREY,Joffrey,King's Landing
JOJEN,Jojen,The North
JON,Jon,Beyond the Wall
JORAH,Jorah,Accross the Narrow Sea
JOYEUSE,Joyeuse,Stark Bannermen
KARL_TANNER,Karl,Craster's keep
KRAZNYS_MO_NAKLOZ,Kraznys,Accross the Narrow Sea
LITTLEFINGER,Petyr,King's Landing
LOCKE,Locke,Kingslayer's trek
LORAS,Loras,King's Landing
LORD_OF_BONES,Lord of Bones,Beyond the Wall
LOTHAR,Lothar,Stark Bannermen
LYSA,Lysa,King's Landing
MACE,Mace,King's Landing
MAESTER_AEMON,Aemon,Craster's keep
MAESTER_LUWIN,Luwin,The North
MANCE,Mance,Beyond the Wall
MAREI,Marei,King's Landing
MARGAERY,Margaery,King's Landing
MARTYN,Martyn,Stark Bannermen
MATTHOS,Matthos,Dragonstone
MEERA,Meera,The North
MELISANDRE,Melisandre,Dragonstone
MERO,Mero,Accross the Narrow Sea
MERRY,Merry,Stark Bannermen
MERYN_TRANT,Meryn,King's Landing
MISSANDEI,Missandei,Accross the Narrow Sea
MOUNTAIN,Gregor,Dragonstone
MYCAH,Mycah,Dragonstone
MYRANDA,Myranda,Theon's imprisonment
NED,Ned,Dragonstone
OLENNA,Olenna,King's Landing
OLYVAR,Olyvar,King's Landing
ORELL,Orell,Beyond the Wall
OSHA,Osha,The North
PODRICK,Podrick,King's Landing
PRENDAHL,Prendahl,Accross the Narrow Sea
PYCELLE,Pycelle,King's Landing
PYP,Pyp,Craster's keep
QHORIN_HALFHAND,Qhorin,Beyond the Wall
QYBURN,Qyburn,Kingslayer's trek
RADZAI_MO_ERAZ,Radzai,Accross the Narrow Sea
RAMSAY,Ramsay,Theon's imprisonment
RANDYLL,Randyll,Craster's keep
RAST,Rast,Craster's keep
RENLY,Renly,King's Landing
RICKARD_KARSTARK,Rickard Karstark,Stark Bannermen
RICKON,Rickon,The North
ROBB,Robb,Stark Bannermen
ROBERT,Robert,Dragonstone
ROOSE_BOLTON,Roose,Stark Bannermen
ROS,Ros,King's Landing
ROSLIN,Roslin,Stark Bannermen
RYLENE,Rylene,Dragonstone
SALLADHOR,Salladhor,Dragonstone
SAM,Sam,Craster's keep
SANSA,Sansa,King's Landing
SELWYN,Selwyn,Kingslayer's trek
SELYSE,Selyse,Dragonstone
SHAE,Shae,King's Landing
SHIREEN,Shireen,Dragonstone
SORCERER,Sorcerer,King's Landing
STANNIS,Stannis,Dragonstone
STEELSHANKS_WALTON,Steelshanks Walton,Kingslayer's trek
TALISA,Talisa,Stark Bannermen
TARYN_MANT,Taryn,King's Landing
THEON,Theon,Theon's imprisonment
THOROS,Thoros,Dragonstone
TORMUND,Tormund,Beyond the Wall
TORTURER,Torturer,Theon's imprisonment
TYRION,Tyrion,King's Landing
TYWIN,Tywin,King's Landing
VARYS,Varys,King's Landing
VIOLET,Violet,Theon's imprisonment
WALDER,Walder,Stark Bannermen
WILLEM_LANNISTER,Willem,Stark Bannermen
YARA,Yara,Theon's imprisonment
YGRITTE,Ygritte,Beyond the Wall
