Id,Label,Community
AEGON,Aegon,Night's Watch
AERYS,Aerys,Essos
ALLISER_THORNE,Alliser,Night's Watch
AREO,Areo,Dorne
ARYA,Arya,Braavos
BARRISTAN,Barristan,Essos
BLACK_HAIRED_PROSTITUTE,Strumpet,Essos
BRAN,Bran,Winterfell
BRAND,Brand,Night's Watch
BRIAN,Brian,Night's Watch
BRIENNE,Brienne,Winterfell
BRONN,Bronn,Dorne
CATELYN,Catelyn,Winterfell
CERSEI,Cersei,King's Landing
CERWYN,Cerwyn,Winterfell
DAARIO,Daario,Essos
DAENERYS,Daenerys,Essos
DAVOS,Davos,Night's Watch
DENYS,Denys,Night's Watch
DERRYK,Derryk,Night's Watch
DORAN,Doran,Dorne
DORNISH_RIDER,Dornish Rider,Dorne
EDDISON_TOLLETT,Eddison,Night's Watch
ELLARIA,Ellaria,Dorne
FALYSE,Falyse,Dorne
GILLY,Gilly,Night's Watch
GRENN,Grenn,Night's Watch
GREY_WORM,Grey Worm,Essos
HIGH_SEPTON,High Septon,King's Landing
HIGH_SPARROW,High Sparrow,King's Landing
HIZDAHR,Hizdahr,Essos
JAIME,Jaime,Dorne
JANOS,Janos,Night's Watch
JAQEN,Jaqen,Braavos
JEOR,Jeor,Night's Watch
JOFFREY,Joffrey,King's Landing
JON,Jon,Night's Watch
JORAH,Jorah,Essos
KARSI,Karsi,Night's Watch
KEVAN,Kevan,King's Landing
LANCEL,Lancel,King's Landing
LITTLE_SAM,Little Sam,Night's Watch
LITTLEFINGER,Petyr,Winterfell
LOBODA,Loboda,Night's Watch
LOLLYS,Lollys,Dorne
LORAS,Loras,King's Landing
LORD_OF_BONES,Lord of Bones,Night's Watch
LORD_WEEBLY,Lord Weebly,Night's Watch
LYANNA,Lyanna,Winterfell
LYANNA_MORMONT,Lyanna Mormont,Night's Watch
LYSA,Lysa,Winterfell
MACE,Mace,King's Landing
MADAME,Madame,King's Landing
MAESTER_AEMON,Aemon,Night's Watch
MAGGY,Maggy,King's Landing
MAGNAR,Magnar,Night's Watch
MALKO,Malko,Essos
MANCE,Mance,Night's Watch
MARGAERY,Margaery,King's Landing
MELARA,Melara,King's Landing
MELISANDRE,Melisandre,Night's Watch
MERYN_TRANT,Meryn,King's Landing
MISSANDEI,Missandei,Essos
MOSSADOR,Mossador,Essos
MOUNTAIN,Mountain,Braavos
MYRANDA,Myranda,Winterfell
MYRCELLA,Myrcella,Dorne
NED,Ned,Winterfell
NIGHT_KING,Night King,Night's Watch
NYMERIA,Nymeria,Dorne
OBARA,Obara,Dorne
OBERYN,Oberyn,Dorne
OLENNA,Olenna,King's Landing
OLLY,Olly,Night's Watch
OLYVAR,Olyvar,King's Landing
OWNER,Owner,Essos
PODRICK,Podrick,Winterfell
PYCELLE,Pycelle,King's Landing
PYP,Pyp,Night's Watch
QUICK,Quick,Essos
QYBURN,Qyburn,King's Landing
RAMSAY,Ramsay,Winterfell
RANDYLL,Randyll,Night's Watch
RENLY,Renly,Winterfell
RHAEGAR,Rhaegar,Essos
RHAENYRA,Rhaenyra,Night's Watch
RICKON,Rickon,Winterfell
ROBB,Robb,Winterfell
ROBERT,Robert,King's Landing
ROBIN,Robin,Winterfell
ROOSE_BOLTON,Roose,Winterfell
ROYCE,Royce,Winterfell
SAM,Sam,Night's Watch
SANSA,Sansa,Winterfell
SELWYN,Selwyn,Winterfell
SELYSE,Selyse,Night's Watch
SEPTA_UNELLA,Septa Unella,King's Landing
SHAE,Shae,King's Landing
SHIREEN,Shireen,Night's Watch
STANNIS,Stannis,Night's Watch
STEFFON,Steffon,Night's Watch
STRONG,Strong,Essos
TANDA,Tanda,Dorne
THEON,Theon,Winterfell
THIN_MAN,Thin Man,Braavos
TOMMEN,Tommen,King's Landing
TORMUND,Tormund,Night's Watch
TRYSTANE,Trystane,Dorne
TYCHO,Tycho,King's Landing
TYENE,Tyene,Dorne
TYRION,Tyrion,Essos
TYWIN,Tywin,King's Landing
VARYS,Varys,Essos
WAIF,Waif,Braavos
WALDA,Walda,Winterfell
WALDER,Walder,Braavos
WOLKAN,Wolkan,Winterfell
OTHELL_YARWYCK,Othell,Night's Watch
YOHN_ROYCE,Yohn,Winterfell
