Id,Label,Community
ADRACK_HUMBLE,Adrack Humble,Winterfell
AXELL_FLORENT,Axell Florent,Dragonstone
BITER,Biter,Riverlands
BLACK_JACK,Black Jack,Castle Black
COOPER,Cooper,Castle Black
DONGO_THE_GIANT,Dongo the Giant,Castle Black
DONNEL_HILL,Donnel Hill,Castle Black
DONTOS,Dontos,Eyrie
DYING_MAN,Dying Man,Riverlands
GRENN,Grenn,Castle Black
GUYMON,Guymon,Castle Black
JOFFREY,Joffrey,King's Landing
JOJEN,Jojen,Beyond the wall
KARL_TANNER,Karl,Beyond the wall
KEGS,Kegs,Castle Black
LOCKE,Locke,Castle Black
LYSA,Lysa,Eyrie
MAG_THE_MIGHTY,Mag the Mighty,Castle Black
MOLES_TOWN_WHORE,Mole's Town Whore,Castle Black
MULLY,Mully,Castle Black
OBERYN,Oberyn,King's Landing
OLLYS_MOTHER,Olly's Mother,Castle Black
POLLIVER,Polliver,Riverlands
PYP,Pyp,Castle Black
RALF,Ralf,Winterfell
RAST,Rast,Beyond the wall
RORGE,Rorge,Riverlands
SHAE,Shae,King's Landing
STYR,Styr,Castle Black
TANSY,Tansy,Winterfell
THENN_WARG,Thenn Warg,Castle Black
TYWIN,Tywin,King's Landing
YGRITTE,Ygritte,Castle Black
ZALA,Zala,Meereen
