Id,Label,Community
AEGON,Aegon,Harenhall
AERYS,Aerys,Riverlands and Stormlands
ALTON,Alton,Riverlands and Stormlands
AMORY,Amory,Harenhall
ARYA,Arya,Harenhall
BALON,Balon,Iron Islands and Winterfell
BARRA,Barra,King's Landing
BENJEN,Benjen,Far North
BILLY,Billy,Iron Islands and Winterfell
BITER,Biter,Harenhall
BLACK_LORREN,Black Lorren,Iron Islands and Winterfell
BOROS,Boros,King's Landing
BRAN,Bran,Iron Islands and Winterfell
BRIENNE,Brienne,Riverlands and Stormlands
BRONN,Bronn,King's Landing
CAPTAINS_DAUGHTER,Captain's Daughter,Iron Islands and Winterfell
CATELYN,Catelyn,Riverlands and Stormlands
CERSEI,Cersei,King's Landing
COLEN,Colen,Riverlands and Stormlands
CRASTER,Craster,Far North
CRESSEN,Cressen,Riverlands and Stormlands
DAENERYS,Daenerys,Red Waste and Qarth
DAGMER,Dagmer,Iron Islands and Winterfell
DAISY,Daisy,King's Landing
DAVOS,Davos,Riverlands and Stormlands
DONTOS,Dontos,King's Landing
DOREAH,Doreah,Red Waste and Qarth
DROGO,Drogo,Red Waste and Qarth
DROWNED_PRIEST,Drowned Priest,Iron Islands and Winterfell
EDDISON_TOLLETT,Eddison,Far North
FARLEN,Farlen,Iron Islands and Winterfell
FATHER_SEAWORTH,Father Seaworth,Riverlands and Stormlands
FREY_DAUGHTER,Frey Daughter,Riverlands and Stormlands
GENDRY,Gendry,Harenhall
GERARD,Gerard,Riverlands and Stormlands
GILLY,Gilly,Far North
GRENN,Grenn,Far North
HARREN,Harren,Harenhall
HAYLENE,Haylene,King's Landing
HIGH_SEPTON,High Septon,King's Landing
HODOR,Hodor,Iron Islands and Winterfell
HOT_PIE,Hot Pie,Harenhall
HOUND,Sandor,King's Landing
ILYN_PAYNE,Ilyn,King's Landing
IRRI,Irri,Red Waste and Qarth
JACKS,Jacks,Riverlands and Stormlands
JAIME,Jaime,Riverlands and Stormlands
JANOS,Janos,Janos
JAQEN,Jaqen,Harenhall
JEOR,Jeor,Far North
JOANNA,Joanna,King's Landing
JOFFREY,Joffrey,King's Landing
JON,Jon,Far North
JON_ARRYN,Jon Arryn,Riverlands and Stormlands
JORAH,Jorah,Red Waste and Qarth
KEVAN,Kevan,Harenhall
KOVARRO,Kovarro,Red Waste and Qarth
LANCEL,Lancel,King's Landing
LITTLEFINGER,Petyr,King's Landing
LOMMY,Lommy,Harenhall
LORAS,Loras,Riverlands and Stormlands
LYSA,Lysa,King's Landing
MAESTER_LUWIN,Luwin,Iron Islands and Winterfell
MALAKKO,Malakko,Red Waste and Qarth
MANCE,Mance,Far North
MANDON,Mandon,King's Landing
MARGAERY,Margaery,Riverlands and Stormlands
MARYA,Marya,Riverlands and Stormlands
MATTHOS,Matthos,Riverlands and Stormlands
MELESSA,Melessa,Far North
MELISANDRE,Melisandre,Riverlands and Stormlands
MERYN_TRANT,Meryn,King's Landing
MHAEGEN,Mhaegen,King's Landing
MOUNTAIN,Gregor,Harenhall
MYRCELLA,Myrcella,King's Landing
NED,Ned,Riverlands and Stormlands
OSHA,Osha,Iron Islands and Winterfell
PODRICK,Podrick,King's Landing
POLLIVER,Polliver,Harenhall
PORTAN,Portan,Iron Islands and Winterfell
PROTESTER,Protester,King's Landing
PYATT_PREE,Pyatt Pree,Red Waste and Qarth
PYCELLE,Pycelle,King's Landing
QHORIN,Qhorin,Far North
QUAITHE,Quaithe,Red Waste and Qarth
QUENT,Quent,Riverlands and Stormlands
RAKHARO,Rakharo,Red Waste and Qarth
RAMSAY,Ramsay,Riverlands and Stormlands
RANDYLL,Randyll,Far North
LORD_OF_BONES,Lord of Bones,Far North
REGINALD,Reginald,Harenhall
RENLY,Renly,Riverlands and Stormlands
RENNICK,Rennick,Riverlands and Stormlands
RHAEGO,Rhaego,Red Waste and Qarth
RHAENYS,Rhaenys,Harenhall
RICKARD_KARSTARK,Rickard Karstark,Riverlands and Stormlands
RICKON,Rickon,Iron Islands and Winterfell
ROBB,Robb,Riverlands and Stormlands
ROBERT,Robert,King's Landing
ROBIN,Robin,King's Landing
RODRIK,Rodrik,Iron Islands and Winterfell
ROOSE_BOLTON,Roose,Riverlands and Stormlands
RORGE,Rorge,Harenhall
ROS,Ros,King's Landing
SALLADHOR,Salladhor,Riverlands and Stormlands
SAM,Sam,Far North
SANSA,Sansa,King's Landing
SEPTON,Septon,Riverlands and Stormlands
SHAE,Shae,King's Landing
SILK_KING,Silk King,Red Waste and Qarth
SPICE_KING,Spice King,Red Waste and Qarth
STANNIS,Stannis,Riverlands and Stormlands
SYRIO_FOREL,Syrio,Harenhall
TALISA,Talisa,Riverlands and Stormlands
THEON,Theon,Iron Islands and Winterfell
TICKLER,Tickler,Harenhall
TIMETT,Timett,King's Landing
TOMMEN,Tommen,King's Landing
TORRHEN,Torrhen,Riverlands and Stormlands
TRYSTANE,Trystane,King's Landing
TYRION,Tyrion,King's Landing
TYWIN,Tywin,Harenhall
VARYS,Varys,King's Landing
VISENYA,Visenya,Harenhall
WINTERFELL_SHEPHERD,Shepherd,Iron Islands and Winterfell
XARO,Xaro,Red Waste and Qarth
YARA,Yara,Iron Islands and Winterfell
YGRITTE,Ygritte,Far North
YOREN,Yoren,Harenhall
