Id,Label,Community
ALTON,Alton,Riverlands and Stormlands
AMORY,Amory,Harenhall
BARRA,Barra,King's Landing
BILLY,Billy,Iron Islands and Winterfell
BLACK_LORREN,Black Lorren,Iron Islands and Winterfell
CRESSEN,Cressen,Riverlands and Stormlands
DAGMER,Dagmer,Iron Islands and Winterfell
DOREAH,Doreah,Red Waste and Qarth
HIGH_SEPTON,High Septon,King's Landing
IRRI,Irri,Red Waste and Qarth
LOMMY,Lommy,Harenhall
MAESTER_LUWIN,Luwin,Iron Islands and Winterfell
MANDON,Mandon,King's Landing
MATTHOS,Matthos,Riverlands and Stormlands
PYATT_PREE,Pyatt Pree,Red Waste and Qarth
QHORIN,Qhorin,Far North
RAKHARO,Rakharo,Red Waste and Qarth
RENLY,Renly,Riverlands and Stormlands
RENNICK,Rennick,Riverlands and Stormlands
RODRIK,Rodrik,Iron Islands and Winterfell
SILK_KING,Silk King,Red Waste and Qarth
SPICE_KING,Spice King,Red Waste and Qarth
TICKLER,Tickler,Harenhall
TORRHEN,Torrhen,Riverlands and Stormlands
WINTERFELL_SHEPHERD,Shepherd,Iron Islands and Winterfell
XARO,Xaro,Red Waste and Qarth
YOREN,Yoren,Harenhall
