Id,Label,Community
ALYS,Alys,Stark/Targaryen
BERIC,Beric,Stark/Targaryen
CERSEI,Cersei,King's Landing
DAENERYS,Daenerys,Stark/Targaryen
EDDISON_TOLLETT,Eddison,Stark/Targaryen
EURON,Euron,King's Landing
HARRY,Harry,King's Landing
HOUND,Sandor,Stark/Targaryen
JAIME,Jaime,Stark/Targaryen
LYANNA_MORMONT,Lyanna Mormont,Stark/Targaryen
MELISANDRE,Melisandre,Stark/Targaryen
MISSANDEI,Missandei,Stark/Targaryen
MOUNTAIN,Gregor,King's Landing
NED_UMBER,Ned Umber,Stark/Targaryen
NIGHT_KING,Night King,Stark/Targaryen
NORA,Nora,Citizen pair 2
QHONO,Qhono,Stark/Targaryen
QYBURN,Qyburn,King's Landing
THEON,Theon,Stark/Targaryen
VARYS,Varys,Stark/Targaryen
