Id,Label,Community
BERIC,Beric,Dragonstone
CATELYN,Catelyn,Stark Bannermen
CRASTER,Craster,Craster's keep
GREIZHEN,Greizhen,Accross the Narrow Sea
HOSTER,Hoster,Stark Bannermen
JEOR,Jeor,Craster's keep
JOYEUSE,Joyeuse,Stark Bannermen
KRAZNYS_MO_NAKLOZ,Kraznys,Accross the Narrow Sea
MARTYN,Martyn,Stark Bannermen
MERO,Mero,Accross the Narrow Sea
ORELL,Orell,Beyond the Wall
PRENDAHL,Prendahl,Accross the Narrow Sea
RICKARD_KARSTARK,Rickard Karstark,Stark Bannermen
ROBB,Robb,Stark Bannermen
ROS,Ros,King's Landing
TALISA,Talisa,Stark Bannermen
TORTURER,Torturer,Theon's imprisonment
WILLEM_LANNISTER,Willem,Stark Bannermen
